name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Draymond Green","Golden State Warriors",2016-04-01,2015,6589,1610612744,400829023,1,11,39,1,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",-138,218,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2016-04-01,2015,6589,1610612744,400829023,4,4,54,1,"Pullup Jump shot","3PT Field Goal",26,"Boston Celtics",-117,237,0,0.00,,0.00,0.00
"Shaun Livingston","Golden State Warriors",2015-12-31,2015,2393,1610612744,400828372,3,5,15,0,"Pullup Jump shot","2PT Field Goal",14,"Houston Rockets",148,3,1,1.20,"Ariza, Trevor",4.10,11.10
"Shaun Livingston","Golden State Warriors",2016-03-23,2015,2393,1610612744,400828953,2,7,51,1,"Pullup Jump shot","2PT Field Goal",11,"Los Angeles Clippers",-52,105,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-14,2015,3975,1610612744,400828479,3,8,19,1,"Pullup Jump shot","3PT Field Goal",24,"Los Angeles Lakers",197,144,0,0.80,"Clarkson, Jordan",3.40,13.80
"Klay Thompson","Golden State Warriors",2016-01-04,2015,6475,1610612744,400828407,4,6,05,0,"Pullup Jump shot","3PT Field Goal",26,"Charlotte Hornets",204,169,0,0.60,"Walker, Kemba",5.60,12.80
"Klay Thompson","Golden State Warriors",2016-01-04,2015,6475,1610612744,400828407,4,7,00,0,"Pullup Jump shot","2PT Field Goal",16,"Charlotte Hornets",164,16,0,0.00,"Hawes, Spencer",3.00,7.50
"Andre Iguodala","Golden State Warriors",2015-12-25,2015,2386,1610612744,400828325,2,8,58,0,"Pullup Jump shot","3PT Field Goal",24,"Cleveland Cavaliers",119,214,0,1.50,"James, LeBron",5.90,10.80
"Klay Thompson","Golden State Warriors",2016-03-23,2015,6475,1610612744,400828953,3,11,04,1,"Pullup Jump shot","3PT Field Goal",24,"Los Angeles Clippers",238,57,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-01-04,2015,6475,1610612744,400828407,3,7,46,0,"Pullup Jump shot","2PT Field Goal",16,"Charlotte Hornets",92,136,2,2.30,"Hairston, PJ",5.00,20.60
"Harrison Barnes","Golden State Warriors",2016-01-09,2015,6578,1610612744,400828443,2,9,10,0,"Pullup Jump shot","2PT Field Goal",20,"Sacramento Kings",96,178,3,2.40,"Koufos, Kosta",7.10,18.30
"Harrison Barnes","Golden State Warriors",2016-01-04,2015,6578,1610612744,400828407,2,2,50,0,"Pullup Jump shot","3PT Field Goal",22,"Charlotte Hornets",228,0,0,0.70,"Hairston, PJ",3.60,17.40
"Stephen Curry","Golden State Warriors",2016-03-23,2015,3975,1610612744,400828953,1,0,28,0,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Clippers",220,146,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-03-23,2015,6578,1610612744,400828953,2,8,57,1,"Pullup Jump shot","3PT Field Goal",25,"Los Angeles Clippers",-179,183,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-03-23,2015,6578,1610612744,400828953,2,8,25,1,"Pullup Jump shot","3PT Field Goal",23,"Los Angeles Clippers",225,62,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-04,2015,3975,1610612744,400828407,3,9,06,0,"Pullup Jump shot","2PT Field Goal",18,"Charlotte Hornets",168,85,0,0.80,"Walker, Kemba",7.60,13.70
"Klay Thompson","Golden State Warriors",2015-11-06,2015,6475,1610612744,400827970,3,4,28,0,"Pullup Jump shot","2PT Field Goal",20,"Denver Nuggets",138,154,0,0.70,"Mudiay, Emmanuel",4.10,11.70
"Klay Thompson","Golden State Warriors",2016-03-23,2015,6475,1610612744,400828953,3,10,34,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Clippers",189,183,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-14,2015,3975,1610612744,400828479,3,5,29,1,"Pullup Jump shot","3PT Field Goal",26,"Los Angeles Lakers",145,223,3,3.30,"Williams, Lou",5.80,20.50
"Klay Thompson","Golden State Warriors",2016-03-23,2015,6475,1610612744,400828953,1,9,09,1,"Pullup Jump shot","2PT Field Goal",17,"Los Angeles Clippers",-7,174,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-01-04,2015,3975,1610612744,400828407,4,3,04,0,"Pullup Jump shot","3PT Field Goal",27,"Charlotte Hornets",186,198,0,0.00,"Walker, Kemba",2.90,4.70
"Shaun Livingston","Golden State Warriors",2015-12-25,2015,2393,1610612744,400828325,2,11,13,0,"Pullup Jump shot","2PT Field Goal",16,"Cleveland Cavaliers",-142,80,8,8.50,"Dellavedova, Matthew",5.00,13.60
"Stephen Curry","Golden State Warriors",2015-11-14,2015,3975,1610612744,400828031,3,7,43,0,"Pullup Jump shot","3PT Field Goal",27,"Brooklyn Nets",-178,214,3,3.10,"Jack, Jarrett",5.30,20.50
"Brandon Rush","Golden State Warriors",2016-01-14,2015,3457,1610612744,400828479,3,5,01,1,"Pullup Jump shot","2PT Field Goal",21,"Los Angeles Lakers",-209,23,0,0.60,"Clarkson, Jordan",5.60,13.60
"Stephen Curry","Golden State Warriors",2016-01-04,2015,3975,1610612744,400828407,1,8,19,0,"Pullup Jump shot","3PT Field Goal",27,"Charlotte Hornets",-207,175,0,1.30,"Walker, Kemba",5.00,18.70
"Marreese Speights","Golden State Warriors",2016-01-04,2015,3460,1610612744,400828407,4,9,40,0,"Pullup Jump shot","2PT Field Goal",16,"Charlotte Hornets",161,21,0,0.90,"Hawes, Spencer",5.10,17.40
"Harrison Barnes","Golden State Warriors",2015-11-04,2015,6578,1610612744,400827956,4,7,14,1,"Pullup Jump shot","3PT Field Goal",23,"Los Angeles Clippers",-232,11,0,0.50,"Smith, Josh",6.30,22.40
"Draymond Green","Golden State Warriors",2015-11-14,2015,6589,1610612744,400828031,3,11,01,1,"Pullup Jump shot","3PT Field Goal",23,"Brooklyn Nets",-237,23,0,1.00,"Hollis-Jefferson, Rondae",4.90,18.00
"Klay Thompson","Golden State Warriors",2016-01-04,2015,6475,1610612744,400828407,1,2,25,0,"Pullup Jump shot","3PT Field Goal",24,"Charlotte Hornets",50,244,0,0.60,"Lin, Jeremy",2.80,9.30
"Klay Thompson","Golden State Warriors",2016-04-13,2015,6475,1610612744,400829114,2,4,04,1,"Pullup Jump shot","3PT Field Goal",27,"Memphis Grizzlies",99,252,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-13,2015,3975,1610612744,400829114,2,3,04,0,"Pullup Jump shot","3PT Field Goal",27,"Memphis Grizzlies",-25,273,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-11-14,2015,3975,1610612744,400828031,2,3,09,1,"Pullup Jump shot","3PT Field Goal",25,"Brooklyn Nets",-68,242,0,0.90,"Jack, Jarrett",2.80,18.20
